Year(t),Y,X,T,W
1,504471713,31101632300,8.17,12.25
2,343238447,44428638717,3.96,11.92
3,234331592,92245576934,6.20,10.57
4,594092980,1.05508E+11,5.12,14.92
5,333109318,19866336509,4.92,12.24
6,189715732,37849382060,4.40,12.06
7,523688614,1.0519E+11,6.45,12.86
8,430975653,1.05326E+11,5.89,13.38
9,410094079,21900894161,5.31,12.78
10,247327439,1.09791E+11,4.20,12.89
11,109222544,37218966191,5.62,10.10
12,79754461,64318116639,3.15,11.14
13,47865229,82217428075,3.31,11.36
14,43895455,33791708384,4.74,12.31
15,97033239,15433340997,3.34,10.35
16,42935545,5278878966,4.04,12.30
17,22952172,3861495624,6.17,12.27
18,2381268,17159626642,2.54,11.31
19,7253592,4113055533,3.02,10.85
20,25999444,1186929373,3.62,11.81
21,19948832,579971422,3.63,11.54
22,11308979,2350113838,4.33,10.47
23,5583480,1485109853,4.88,10.40
24,7581662,1015733210,3.11,11.52
25,2254484,668049027.4,2.83,11.37
26,3053349,1028678763,5.59,10.60
